x,y,z,vx,vy,vz,t
51.0675,85.6893,35.4683,-0.0856746,0.961615,0.260686,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
59.2974,12.5371,52.3206,0.810117,0.0824541,0.580441,44
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
1.94834,0.0356726,3.48019,0.388162,0.0654926,0.919261,2
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.0675,85.6893,35.4683,-0.0856746,0.961615,0.260686,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
51.0675,85.6893,35.4683,-0.0856746,0.961615,0.260686,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.4344,10.9667,75.3974,0.301406,0.171618,0.937924,58
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
51.0675,85.6893,35.4683,-0.0856746,0.961615,0.260686,57.8
51.0675,85.6893,35.4683,-0.0856746,0.961615,0.260686,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.0675,85.6893,35.4683,-0.0856746,0.961615,0.260686,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
51.0675,85.6893,35.4683,-0.0856746,0.961615,0.260686,57.8
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
51.485,77.8908,33.8655,0.544778,0.697564,0.465425,54
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.0675,85.6893,35.4683,-0.0856746,0.961615,0.260686,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.0675,85.6893,35.4683,-0.0856746,0.961615,0.260686,57.8
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
74.7419,11.0998,76.3394,0.311398,0.107253,0.944207,58.5
